(-3.8523, 1.8101, 0.477)
(-3.8439, 1.7895, 0.4785)
(-3.8629, 1.7811, 0.4785)
(-3.8561, 1.7766, 0.4892)
(-3.8698, 1.7514, 0.4915)
(-3.8607, 1.7758, 0.5075)
(-3.8706, 1.7727, 0.5113)
(-3.8408, 1.7315, 0.5044)
(-3.8362, 1.7529, 0.493)
(-3.8065, 1.7628, 0.5121)
(-3.792, 1.7842, 0.5319)
(-3.795, 1.8094, 0.5533)
(-3.7729, 1.8124, 0.5655)
(-3.7668, 1.8468, 0.5304)
(-3.7958, 1.8773, 0.5372)
(-3.7882, 1.8697, 0.496)
(-3.7759, 1.8758, 0.4785)
(-3.7912, 1.9139, 0.4831)
(-3.7599, 1.9093, 0.4815)
(-3.7584, 1.8956, 0.451)
(-3.7782, 1.904, 0.435)
(-3.7958, 1.9124, 0.4327)
(-3.821, 1.8964, 0.4296)
(-3.8233, 1.8857, 0.435)
(-3.8027, 1.8788, 0.4106)
(-3.8042, 1.8796, 0.4594)
(-3.7798, 1.8735, 0.4739)
(-3.7798, 1.8781, 0.4678)
(-3.7821, 1.8849, 0.4663)
(-3.7859, 1.9154, 0.4625)
(-3.7744, 1.8941, 0.4541)
(-3.7538, 1.8689, 0.4266)
(-3.7332, 1.8895, 0.4533)
(-3.7546, 1.8712, 0.4678)
(-3.7332, 1.8651, 0.4808)
(-3.7454, 1.8636, 0.4625)
(-3.7637, 1.8605, 0.4663)
(-3.7538, 1.8384, 0.4831)
(-3.7553, 1.8262, 0.493)
(-3.7393, 1.8025, 0.5174)
(-3.734, 1.8094, 0.5082)
(-3.7447, 1.8361, 0.5105)
(-3.7668, 1.8231, 0.5098)
(-3.7737, 1.8399, 0.5189)
(-3.7859, 1.8269, 0.5052)
(-3.7721, 1.7811, 0.5174)
(-3.7668, 1.8002, 0.5334)
(-3.7653, 1.8246, 0.5304)
(-3.7653, 1.8567, 0.5052)
(-3.7882, 1.8735, 0.4899)
(-3.8194, 1.8605, 0.5014)
(-3.7988, 1.8643, 0.509)
(-3.7805, 1.904, 0.4808)
(-3.7607, 1.9071, 0.4945)
(-3.7752, 1.9284, 0.5067)
(-3.7927, 1.9559, 0.4907)
(-3.8011, 1.9666, 0.4632)
(-3.8355, 1.9414, 0.4602)
(-3.8255, 1.9025, 0.4861)
(-3.8271, 1.8781, 0.4838)
(-3.8118, 1.904, 0.4953)
(-3.8317, 1.9063, 0.4922)
(-3.8622, 1.8796, 0.4853)
(-3.8683, 1.8628, 0.4861)
(-3.8744, 1.8445, 0.509)
(-3.8881, 1.875, 0.5037)
(-3.9148, 1.8887, 0.5288)
(-3.8759, 1.917, 0.5548)
(-3.9064, 1.9261, 0.5739)
(-3.9194, 1.9238, 0.5678)
(-3.9225, 1.8903, 0.5372)
(-3.9278, 1.8895, 0.5067)
(-3.9248, 1.8781, 0.5113)
(-3.9141, 1.9032, 0.5006)
(-3.9042, 1.8971, 0.4785)
(-3.8752, 1.8719, 0.4907)
(-3.8416, 1.8399, 0.4602)
(-3.8492, 1.833, 0.4472)
(-3.8339, 1.8201, 0.4335)
(-3.8118, 1.8269, 0.451)
(-3.8156, 1.8323, 0.4556)
(-3.8126, 1.8208, 0.4968)
(-3.7744, 1.8315, 0.4953)
(-3.7775, 1.8048, 0.5006)
(-3.7904, 1.8208, 0.535)
(-3.7729, 1.8483, 0.538)
(-3.7882, 1.8521, 0.5388)
(-3.7966, 1.8155, 0.5411)
(-3.7843, 1.8414, 0.5182)
(-3.7775, 1.8346, 0.5044)
(-3.7759, 1.8613, 0.5212)
(-3.7538, 1.8666, 0.5082)
(-3.7706, 1.862, 0.5258)
(-3.7996, 1.8452, 0.5205)
(-3.7828, 1.8208, 0.509)
(-3.8072, 1.7743, 0.506)
(-3.8049, 1.7689, 0.5029)
(-3.8027, 1.801, 0.4876)
(-3.8202, 1.7865, 0.496)
(-3.8278, 1.7895, 0.4869)
(-3.8019, 1.7689, 0.4785)
(-3.7996, 1.7613, 0.4937)
(-3.7996, 1.7643, 0.4884)
(-3.7752, 1.788, 0.48)
(-3.7645, 1.7911, 0.4808)
(-3.7752, 1.8216, 0.4693)
(-3.7767, 1.8277, 0.4853)
(-3.7721, 1.8239, 0.5128)
(-3.7447, 1.8216, 0.5296)
(-3.7347, 1.8376, 0.5456)
(-3.7569, 1.8544, 0.5624)
(-3.7813, 1.8422, 0.567)
(-3.7988, 1.8391, 0.5693)
(-3.8095, 1.8422, 0.5922)
(-3.8317, 1.8605, 0.5853)
(-3.8164, 1.8552, 0.5792)
(-3.8072, 1.8689, 0.5846)
(-3.8088, 1.8674, 0.567)
(-3.8416, 1.8719, 0.5433)
(-3.8416, 1.8926, 0.554)
(-3.8553, 1.8803, 0.5418)
(-3.8446, 1.8849, 0.5151)
(-3.8362, 1.8979, 0.506)
(-3.8248, 1.8987, 0.5189)
(-3.8179, 1.9086, 0.5121)
(-3.8416, 1.9025, 0.5365)
(-3.8545, 1.8781, 0.5235)
(-3.8523, 1.8697, 0.522)
(-3.8446, 1.8636, 0.5372)
(-3.8347, 1.8529, 0.5288)
(-3.8156, 1.8643, 0.5433)
(-3.8187, 1.8933, 0.5662)
(-3.8118, 1.8979, 0.5716)
(-3.8362, 1.8956, 0.5334)
(-3.8523, 1.8712, 0.5456)
(-3.8423, 1.8796, 0.5502)
(-3.8332, 1.875, 0.5548)
(-3.8462, 1.8834, 0.567)
(-3.8271, 1.8971, 0.5288)
(-3.8439, 1.8658, 0.5266)
(-3.8423, 1.8353, 0.5266)
(-3.8408, 1.8094, 0.5197)
(-3.8332, 1.8094, 0.5014)
(-3.8423, 1.8284, 0.5182)
(-3.8454, 1.83, 0.5021)
(-3.8248, 1.8101, 0.4792)
(-3.8355, 1.8246, 0.4655)
(-3.8347, 1.8346, 0.448)
(-3.8645, 1.8178, 0.5113)
(-3.8576, 1.83, 0.5174)
(-3.8599, 1.8468, 0.5159)
(-3.8576, 1.8361, 0.5334)
(-3.8652, 1.8384, 0.5723)
(-3.8385, 1.8139, 0.5647)
(-3.8187, 1.8376, 0.5731)
(-3.8126, 1.8552, 0.5899)
(-3.7889, 1.8582, 0.5968)
(-3.7843, 1.8292, 0.6258)
(-3.7561, 1.8353, 0.5746)
(-3.7469, 1.8384, 0.5723)
